index,CustomerId,Age,Dependents,noReferrals,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,UnlimitedData,AvgDownloadGB,ChurnLabel,CustomerLTV,Monthly_charge,AvgRoamCharge,Y_predict
1375,C-11417,33,No,1,계좌이체,No,No,No,Yes,5,0,5228,111631.0,32540,1.0
1385,C-11427,50,No,0,계좌이체,No,No,No,Yes,26,0,5832,85315.0,10060,1.0
1388,C-11430,80,No,0,계좌이체,No,Yes,No,Yes,21,0,5655,123440.0,47350,1.0
1399,C-11441,66,No,0,계좌이체,No,No,No,No,20,0,2107,105484.0,29720,1.0
1438,C-11480,23,No,0,계좌이체,No,No,No,Yes,41,0,2968,92704.0,45310,1.0
1468,C-11510,35,No,0,계좌이체,No,No,No,Yes,14,0,4867,99052.0,13000,1.0
1509,C-11551,53,No,0,계좌이체,No,No,No,Yes,23,0,2475,78615.0,1360,1.0
1515,C-11557,77,No,1,신용카드,No,Yes,No,Yes,30,0,6015,110096.0,26100,1.0
1592,C-11634,40,No,0,계좌이체,No,No,No,Yes,24,0,3026,79695.0,29040,1.0
1612,C-11654,48,No,0,계좌이체,No,Yes,No,Yes,11,0,3364,92502.0,10850,1.0
1675,C-11717,51,No,0,계좌이체,No,No,No,Yes,8,0,2535,79452.0,1130,1.0
1676,C-11718,66,No,1,계좌이체,No,No,No,Yes,2,0,5788,102594.0,48140,1.0
1704,C-11747,70,No,0,계좌이체,No,No,No,Yes,22,0,5039,95629.0,24750,1.0
1717,C-11760,65,No,1,신용카드,No,No,No,Yes,22,0,3594,105980.0,28480,1.0
1736,C-11779,57,No,1,계좌이체,No,No,No,Yes,19,0,4612,53354.0,50850,1.0
1754,C-11797,23,No,0,계좌이체,No,No,No,Yes,26,0,5596,119456.0,22490,1.0
1809,C-11853,73,No,0,계좌이체,No,No,No,No,15,0,5811,94448.0,28140,1.0
1813,C-11857,79,No,0,계좌이체,No,Yes,No,No,21,0,5285,121002.0,7460,1.0
1844,C-11888,79,No,0,신용카드,No,No,No,Yes,25,0,3754,97793.0,1240,1.0
1858,C-11902,67,No,1,신용카드,No,Yes,No,Yes,27,0,2560,51505.0,0,1.0
1870,C-11915,60,No,0,계좌이체,No,No,No,Yes,26,0,4203,93987.0,56050,1.0
1879,C-11924,67,No,0,계좌이체,No,No,No,Yes,13,0,5437,81965.0,10850,1.0
1882,C-11927,48,No,0,이체/메일확인,No,No,No,Yes,4,0,3319,84233.0,14130,1.0
1890,C-11935,33,No,0,계좌이체,No,No,No,Yes,28,0,4341,118584.0,46900,1.0
1930,C-11975,69,No,1,신용카드,No,No,No,Yes,12,0,5325,113026.0,34010,1.0
1945,C-11990,49,No,0,계좌이체,No,No,No,Yes,22,0,5886,99064.0,33000,1.0
1950,C-11995,69,No,1,계좌이체,No,No,No,Yes,14,0,3170,83664.0,8250,1.0
1964,C-12009,31,No,0,계좌이체,No,No,No,No,14,0,3527,82500.0,12660,1.0
1986,C-12032,44,No,1,계좌이체,No,Yes,No,Yes,3,0,4120,109953.0,11410,1.0
2005,C-12052,69,No,0,계좌이체,No,No,No,Yes,3,0,4166,100003.0,22040,1.0
2021,C-12068,74,No,0,신용카드,No,Yes,No,Yes,16,0,3273,106908.0,12770,1.0
2032,C-12079,46,No,0,계좌이체,No,No,No,Yes,23,0,4861,110869.0,20450,1.0
2036,C-12083,58,No,0,계좌이체,No,No,No,No,17,0,2754,79160.0,33340,1.0
2047,C-12094,25,No,0,계좌이체,No,No,No,Yes,82,0,3982,88761.0,18530,1.0
2065,C-12112,64,No,0,계좌이체,No,No,No,Yes,7,0,5514,88435.0,13110,1.0
2099,C-12148,62,No,1,신용카드,No,Yes,No,Yes,4,0,5614,33733.0,0,1.0
2112,C-12162,42,No,1,계좌이체,No,No,No,Yes,16,0,4477,112280.0,38650,1.0
2156,C-12208,75,No,0,계좌이체,No,No,No,Yes,3,0,5182,115142.0,33450,1.0
2187,C-12242,51,No,0,계좌이체,No,No,No,Yes,3,0,2332,90445.0,21240,1.0
2200,C-12256,77,No,0,계좌이체,No,No,No,Yes,25,0,4140,78350.0,34010,1.0
2223,C-12279,71,No,1,신용카드,No,Yes,No,Yes,21,0,6285,34294.0,0,1.0
2246,C-12303,73,No,0,이체/메일확인,No,No,No,Yes,30,0,5098,84293.0,17180,1.0
2263,C-12321,58,No,0,계좌이체,No,No,No,Yes,9,0,4345,104327.0,17630,1.0
2266,C-12324,65,No,0,계좌이체,No,No,No,Yes,10,0,3502,109435.0,42490,1.0
2274,C-12333,38,No,0,계좌이체,No,No,No,Yes,8,0,5674,109650.0,15710,1.0
2282,C-12341,70,No,0,계좌이체,No,No,No,Yes,9,0,5513,117701.0,27460,1.0
2293,C-12352,50,No,0,계좌이체,No,No,No,Yes,17,0,2650,85620.0,16270,1.0
2332,C-12391,45,No,0,계좌이체,No,Yes,No,Yes,6,0,5965,90379.0,28930,1.0
2339,C-12399,30,No,1,계좌이체,No,Yes,No,Yes,52,0,3624,108000.0,51300,1.0
2340,C-12400,34,No,0,계좌이체,No,No,No,Yes,10,0,5874,106072.0,8020,1.0
2354,C-12414,39,No,0,계좌이체,No,No,No,Yes,18,0,4516,87651.0,26890,1.0
2355,C-12415,59,No,0,계좌이체,No,No,No,Yes,18,0,5741,78456.0,21130,1.0
2451,C-12512,78,No,0,계좌이체,Yes,No,No,Yes,7,0,3484,117274.0,35710,1.0
2458,C-12519,49,No,0,계좌이체,No,No,No,Yes,24,0,2026,110828.0,39780,1.0
2475,C-12536,77,No,0,계좌이체,No,Yes,No,No,25,0,3296,120017.0,19550,1.0
2526,C-12589,70,No,0,계좌이체,No,No,No,Yes,5,0,5111,87761.0,24860,1.0
2536,C-12600,49,No,0,계좌이체,No,No,No,Yes,24,0,6434,100889.0,30740,1.0
2700,C-12772,21,No,1,신용카드,No,No,No,No,85,0,4977,111851.0,23620,1.0
2706,C-12779,45,No,0,계좌이체,No,No,No,Yes,24,0,2317,93678.0,51300,1.0
2708,C-12781,62,No,0,계좌이체,No,No,No,Yes,5,0,2951,95022.0,38190,1.0
2735,C-12808,28,No,0,계좌이체,No,No,No,Yes,82,0,3796,78536.0,17290,1.0
2773,C-12846,22,No,0,계좌이체,No,No,No,Yes,48,0,4329,111789.0,51870,1.0
2778,C-12851,43,No,0,계좌이체,No,No,No,No,19,0,4860,82364.0,55940,1.0
2797,C-12872,42,No,0,계좌이체,No,No,No,Yes,8,0,3641,87307.0,1810,1.0
2807,C-12882,77,No,1,계좌이체,No,No,No,Yes,9,0,5495,60307.0,42600,1.0
2813,C-12888,72,No,0,계좌이체,No,No,No,Yes,28,0,2415,101811.0,18530,1.0
2832,C-12907,54,No,0,계좌이체,No,Yes,No,No,11,0,4121,94859.0,48480,1.0
2889,C-12965,25,No,0,계좌이체,No,No,No,Yes,73,0,5213,90064.0,42600,1.0
2895,C-12971,70,No,1,계좌이체,No,No,No,Yes,10,0,3199,116685.0,50960,1.0
2920,C-12998,25,No,0,계좌이체,No,No,No,Yes,52,0,4704,83905.0,10170,1.0
2925,C-13003,59,No,1,계좌이체,No,No,Yes,No,13,0,5640,123937.0,21020,1.0
2928,C-13006,25,No,1,계좌이체,No,No,No,Yes,46,0,5432,91300.0,29150,1.0
2952,C-13030,78,No,1,신용카드,Yes,No,Yes,Yes,5,0,2574,111256.0,36730,1.0
2967,C-13045,27,No,0,계좌이체,No,No,No,Yes,42,0,4030,89377.0,17180,1.0
3035,C-13116,70,No,1,계좌이체,No,Yes,No,Yes,16,0,2399,69350.0,10170,1.0
3041,C-13123,52,No,0,계좌이체,No,Yes,No,Yes,4,0,5319,120692.0,32090,1.0
3042,C-13124,72,No,0,계좌이체,No,No,No,Yes,13,0,4899,83775.0,2490,1.0
3043,C-13125,54,No,0,계좌이체,No,No,No,Yes,8,0,3056,85786.0,17740,1.0
3074,C-13158,72,No,1,계좌이체,No,Yes,No,Yes,4,0,4849,104259.0,21920,1.0
3079,C-13163,44,No,1,신용카드,No,Yes,No,Yes,20,0,2540,102554.0,50400,1.0
3115,C-13199,66,No,1,계좌이체,No,No,Yes,Yes,20,0,4045,106064.0,17400,1.0
3130,C-13216,74,No,0,계좌이체,No,No,No,Yes,21,0,2416,96381.0,26220,1.0
3191,C-13279,45,No,0,계좌이체,No,No,No,Yes,26,0,6109,101794.0,40790,1.0
3244,C-13334,36,No,0,계좌이체,No,No,No,Yes,22,0,5396,87794.0,26560,1.0
3287,C-13380,55,No,1,계좌이체,No,No,No,Yes,29,0,3891,31631.0,0,1.0
3319,C-13412,65,No,1,계좌이체,No,Yes,No,Yes,5,0,6441,122614.0,18870,1.0
3325,C-13418,67,No,0,계좌이체,No,Yes,No,Yes,7,0,5128,123465.0,31190,1.0
3328,C-13422,77,No,0,계좌이체,No,No,No,Yes,19,0,2578,106928.0,9150,1.0
3333,C-13427,74,No,0,계좌이체,No,No,No,Yes,25,0,2868,83713.0,52770,1.0
3355,C-13449,80,No,0,계좌이체,No,Yes,No,Yes,28,0,3950,103380.0,44070,1.0
3372,C-13468,44,No,0,계좌이체,No,No,No,No,11,0,2196,95154.0,8250,1.0
3383,C-13479,39,No,0,계좌이체,No,No,No,No,20,0,4889,109514.0,55820,1.0
3398,C-13494,80,No,0,계좌이체,No,No,No,Yes,10,0,5041,87494.0,47010,1.0
3428,C-13525,27,No,0,계좌이체,No,No,No,No,59,0,3936,116636.0,38990,1.0
3440,C-13537,28,No,1,계좌이체,No,Yes,No,Yes,51,0,2781,99703.0,20450,1.0
3445,C-13542,74,No,0,계좌이체,No,No,No,Yes,7,0,4556,100165.0,9940,1.0
3448,C-13545,20,No,0,계좌이체,No,No,No,No,69,0,5158,96418.0,28820,1.0
3460,C-13558,32,No,0,계좌이체,No,No,No,Yes,26,0,3503,85462.0,8020,1.0
3473,C-13572,30,No,1,계좌이체,No,Yes,Yes,Yes,48,0,3558,97940.0,11530,1.0
3486,C-13585,55,No,0,계좌이체,No,No,No,No,12,0,4191,97333.0,51870,1.0
3532,C-13634,68,No,0,계좌이체,No,No,No,Yes,13,0,3654,111474.0,53110,1.0
3537,C-13639,35,No,1,계좌이체,No,Yes,Yes,Yes,16,0,2037,109538.0,30850,1.0
3540,C-13642,65,No,0,계좌이체,No,No,No,Yes,28,0,4496,107253.0,42710,1.0
3544,C-13646,26,No,0,계좌이체,No,No,No,No,76,0,3818,101061.0,26560,1.0
3608,C-13712,40,No,0,계좌이체,No,No,No,Yes,24,0,2716,105505.0,53450,1.0
3625,C-13729,36,No,0,계좌이체,No,Yes,No,Yes,3,0,5166,93764.0,8590,1.0
3649,C-13754,71,No,0,계좌이체,No,No,No,Yes,3,0,4333,95791.0,47010,1.0
3672,C-13777,43,No,0,계좌이체,No,No,No,Yes,4,0,5614,114109.0,33000,1.0
3684,C-13789,33,No,1,계좌이체,Yes,Yes,No,Yes,18,0,2613,113243.0,6890,1.0
3698,C-13803,60,No,0,계좌이체,No,No,No,Yes,22,0,2325,106192.0,37740,1.0
3725,C-13831,39,No,0,계좌이체,No,No,No,Yes,17,0,3729,111935.0,12660,1.0
3748,C-13854,65,No,1,이체/메일확인,No,No,No,Yes,19,0,2009,95867.0,3280,1.0
3753,C-13859,52,No,0,계좌이체,No,Yes,No,No,6,0,4041,101338.0,39210,1.0
3759,C-13865,32,No,0,계좌이체,No,No,No,Yes,9,0,3430,79579.0,50620,1.0
3764,C-13870,49,No,1,계좌이체,No,Yes,No,No,26,0,6166,112147.0,24180,1.0
3780,C-13886,71,No,1,계좌이체,No,Yes,Yes,Yes,5,0,2040,113440.0,5200,1.0
3832,C-13939,46,No,0,계좌이체,No,No,No,No,14,0,3358,79223.0,10620,1.0
3867,C-13975,73,No,0,계좌이체,No,No,No,Yes,3,0,3276,95573.0,8250,1.0
3871,C-13979,61,No,0,계좌이체,No,No,No,Yes,4,0,5501,80400.0,31080,1.0
3885,C-13993,46,No,0,계좌이체,No,No,No,Yes,9,0,4649,97503.0,55480,1.0
3888,C-13996,51,No,0,계좌이체,No,Yes,No,Yes,10,0,3723,125368.0,16390,1.0
3894,C-14002,71,No,1,계좌이체,No,Yes,No,No,25,0,5084,122312.0,41470,1.0
3897,C-14005,34,No,0,계좌이체,No,Yes,No,Yes,2,0,5787,116117.0,47800,1.0
3901,C-14009,60,No,0,계좌이체,No,Yes,No,Yes,12,0,3031,96542.0,47570,1.0
3906,C-14014,37,No,0,이체/메일확인,No,No,No,Yes,21,0,4525,90695.0,45090,1.0
3916,C-14024,79,No,1,계좌이체,No,No,Yes,Yes,23,0,5791,117458.0,41360,1.0
3928,C-14037,75,No,0,계좌이체,No,Yes,No,No,24,0,3493,105907.0,52770,1.0
3946,C-14056,36,No,0,계좌이체,No,Yes,No,Yes,12,0,3826,106460.0,30060,1.0
3999,C-14110,20,No,1,계좌이체,No,No,No,Yes,52,0,5954,118484.0,50620,1.0
4047,C-14159,34,No,0,계좌이체,No,No,No,Yes,23,0,5902,88835.0,38190,1.0
4075,C-14188,61,No,1,신용카드,No,No,No,Yes,23,0,2798,84657.0,30960,1.0
4086,C-14199,48,No,0,계좌이체,No,No,No,Yes,3,0,2062,91229.0,39320,1.0
4091,C-14204,79,No,0,계좌이체,No,No,No,Yes,11,0,4425,112734.0,36390,1.0
4103,C-14217,25,No,0,계좌이체,No,No,No,Yes,73,0,4612,100430.0,2600,1.0
4130,C-14245,78,No,1,신용카드,No,Yes,No,Yes,10,0,6423,122404.0,31410,1.0
4140,C-14255,80,No,1,계좌이체,No,Yes,No,No,14,0,5883,121617.0,51080,1.0
4172,C-14288,39,No,0,계좌이체,No,Yes,No,Yes,8,0,4971,114738.0,35710,1.0
4194,C-14310,56,No,0,계좌이체,No,No,No,Yes,15,0,2228,85753.0,6330,1.0
4195,C-14311,78,No,1,계좌이체,No,No,No,Yes,26,0,5225,82396.0,41360,1.0
4211,C-14327,37,No,0,계좌이체,No,No,No,Yes,22,0,4501,95311.0,23280,1.0
4279,C-14397,50,No,0,계좌이체,No,No,No,No,25,0,3469,87906.0,21810,1.0
4290,C-14408,42,No,0,계좌이체,No,No,No,No,6,0,4164,113753.0,55480,1.0
4300,C-14418,69,No,0,계좌이체,No,No,No,Yes,11,0,2893,99689.0,54580,1.0
4310,C-14428,67,No,1,계좌이체,Yes,No,No,Yes,12,0,4025,111637.0,47350,1.0
4351,C-14469,45,No,1,계좌이체,No,No,Yes,Yes,26,0,4814,110123.0,23500,1.0
4376,C-14494,54,No,0,계좌이체,No,No,No,No,22,0,4895,88052.0,2150,1.0
4387,C-14505,80,No,0,계좌이체,No,No,No,Yes,17,0,2757,106775.0,21470,1.0
4392,C-14511,48,No,0,계좌이체,No,No,No,No,5,0,2032,98520.0,30400,1.0
4394,C-14514,53,No,1,계좌이체,No,No,Yes,Yes,11,0,5106,130146.0,48030,1.0
4426,C-14546,76,No,0,계좌이체,No,Yes,No,Yes,14,0,2885,105950.0,37290,1.0
4441,C-14562,54,No,0,이체/메일확인,No,No,No,Yes,4,0,3349,82135.0,15590,1.0
4476,C-14598,33,No,0,계좌이체,No,No,No,Yes,12,0,4847,117912.0,12090,1.0
4482,C-14604,67,No,1,계좌이체,No,No,No,Yes,22,0,2364,104807.0,50060,1.0
4484,C-14606,24,No,0,계좌이체,No,No,No,Yes,73,0,2165,92340.0,45090,1.0
4525,C-14648,66,No,0,계좌이체,No,No,No,Yes,24,0,5610,80482.0,25880,1.0
4641,C-14766,79,No,1,계좌이체,No,No,No,Yes,23,0,2064,81229.0,6100,1.0
4650,C-14775,41,No,0,계좌이체,No,No,No,Yes,18,0,5559,100485.0,30850,1.0
4662,C-14787,71,No,0,계좌이체,No,No,No,Yes,4,0,3111,92872.0,24300,1.0
4680,C-14805,29,No,1,계좌이체,No,Yes,No,Yes,51,0,4161,94778.0,26330,1.0
4744,C-14870,66,No,0,계좌이체,No,No,No,Yes,25,0,2003,85000.0,44970,1.0
4767,C-14895,69,No,0,계좌이체,No,No,No,No,3,0,4374,86557.0,53220,1.0
4783,C-14911,52,No,1,계좌이체,No,Yes,No,No,2,0,6358,106916.0,22370,1.0
4788,C-14917,25,No,0,계좌이체,No,No,No,Yes,59,0,3391,95500.0,55260,1.0
4819,C-14949,39,No,0,계좌이체,No,Yes,No,Yes,4,0,5167,96843.0,25200,1.0
4822,C-14952,66,No,0,계좌이체,No,No,No,Yes,4,0,2893,106586.0,45200,1.0
4834,C-14965,47,No,0,계좌이체,No,No,No,Yes,17,0,4296,107277.0,31410,1.0
4894,C-15026,71,No,0,계좌이체,No,Yes,No,Yes,2,0,3061,117297.0,6670,1.0
4934,C-15067,53,No,1,계좌이체,Yes,No,No,Yes,4,0,2362,92555.0,23960,1.0
4935,C-15068,38,No,0,계좌이체,No,No,No,Yes,26,0,2642,85238.0,46440,1.0
4938,C-15071,62,No,0,계좌이체,No,No,No,Yes,29,0,3443,93169.0,50850,1.0
4981,C-15116,63,No,1,계좌이체,No,Yes,No,Yes,18,0,3222,64918.0,0,1.0
5000,C-15136,47,No,1,계좌이체,No,Yes,No,Yes,15,0,5096,120415.0,20110,1.0
5014,C-15152,53,No,0,계좌이체,No,No,No,Yes,21,0,4764,80240.0,39320,1.0
5031,C-15170,64,No,1,신용카드,No,Yes,No,Yes,16,0,5577,110709.0,39100,1.0
5066,C-15206,45,No,1,계좌이체,No,No,No,No,22,0,4917,84393.0,8700,1.0
5085,C-15226,52,No,0,계좌이체,No,No,No,Yes,11,0,5212,96871.0,8250,1.0
5104,C-15245,57,No,0,계좌이체,No,No,No,Yes,10,0,4840,79179.0,38190,1.0
5114,C-15255,65,No,0,계좌이체,No,No,No,Yes,9,0,4030,113242.0,28250,1.0
5134,C-15275,49,No,0,계좌이체,No,No,No,No,19,0,3154,104138.0,6670,1.0
5147,C-15288,63,No,0,계좌이체,No,No,No,No,27,0,2722,79677.0,16270,1.0
5172,C-15314,42,No,0,계좌이체,No,No,No,No,18,0,3080,82784.0,45310,1.0
5190,C-15332,79,No,1,계좌이체,No,Yes,No,Yes,9,0,4429,104094.0,41470,1.0
5226,C-15368,49,No,0,계좌이체,No,No,No,Yes,2,0,5579,102808.0,18760,1.0
5231,C-15373,59,No,0,계좌이체,No,No,No,Yes,27,0,2904,100654.0,20110,1.0
5296,C-15440,71,No,0,계좌이체,No,No,No,Yes,9,0,5318,100703.0,25200,1.0
5321,C-15468,75,No,0,계좌이체,No,No,No,Yes,11,0,4368,85439.0,47690,1.0
5334,C-15481,60,No,0,계좌이체,No,No,No,Yes,3,0,2921,116568.0,29040,1.0
5395,C-15542,43,No,0,계좌이체,No,No,No,Yes,13,0,5033,88497.0,12880,1.0
5410,C-15557,39,No,0,계좌이체,No,No,No,Yes,14,0,5203,88167.0,7910,1.0
5432,C-15581,60,No,0,계좌이체,No,No,No,Yes,11,0,2006,81148.0,34580,1.0
5433,C-15582,71,No,1,계좌이체,No,Yes,Yes,Yes,20,0,2535,116275.0,2710,1.0
5434,C-15583,33,No,0,계좌이체,No,No,No,No,25,0,2061,100438.0,21240,1.0
5460,C-15610,20,No,0,계좌이체,No,No,No,Yes,26,0,2292,89346.0,20910,1.0
5462,C-15612,76,No,0,계좌이체,No,No,No,No,16,0,5514,119368.0,5880,1.0
5470,C-15622,69,No,0,계좌이체,No,No,No,Yes,21,0,6034,112379.0,4630,1.0
5497,C-15650,44,No,1,계좌이체,No,Yes,No,Yes,23,0,6251,103524.0,42490,1.0
5499,C-15652,26,No,0,계좌이체,No,No,No,Yes,59,0,4946,84880.0,47350,1.0
5506,C-15659,37,No,0,계좌이체,No,Yes,No,Yes,8,0,5029,120793.0,18760,1.0
5518,C-15671,62,No,1,계좌이체,No,No,No,No,16,0,2512,101930.0,44750,1.0
5553,C-15707,47,No,0,이체/메일확인,No,No,No,Yes,10,0,3029,79992.0,42380,1.0
5574,C-15730,80,No,0,계좌이체,No,Yes,No,Yes,3,0,4574,115625.0,20570,1.0
5593,C-15750,40,No,0,계좌이체,No,No,No,Yes,14,0,3475,113943.0,17520,1.0
5594,C-15751,75,No,0,계좌이체,No,No,No,Yes,16,0,4113,121514.0,54130,1.0
5638,C-15796,30,No,0,계좌이체,No,No,No,Yes,85,0,4858,80211.0,54470,1.0
5639,C-15797,55,No,0,계좌이체,No,No,No,Yes,6,0,5259,113284.0,8360,1.0
5661,C-15819,80,No,0,계좌이체,No,No,No,Yes,4,0,5936,107543.0,35710,1.0
5680,C-15838,20,No,1,신용카드,No,No,No,No,41,0,2640,93900.0,50960,1.0
5691,C-15849,78,No,0,신용카드,No,No,No,Yes,24,0,5159,86171.0,49040,1.0
5708,C-15866,73,No,0,계좌이체,No,Yes,No,Yes,4,0,2660,99665.0,16050,1.0
5727,C-15886,30,No,0,계좌이체,No,No,No,Yes,52,0,3198,81314.0,45990,1.0
5728,C-15887,57,No,0,계좌이체,No,No,No,Yes,23,0,5527,110746.0,55370,1.0
5746,C-15906,48,No,0,계좌이체,No,Yes,No,No,4,0,5813,124786.0,43840,1.0
5753,C-15913,56,No,0,계좌이체,No,No,No,No,10,0,4216,86553.0,34010,1.0
